X,Y,Z
45322.4,43477.1,166.234
45251.6,43551.5,166.729
45322.8,43478.7,168.927
45275.2,43540.3,169.39
45320.3,43477.3,172.537
45252.7,43551.8,172.2
45253.2,43556.9,171.846
45255.8,43559.6,172.061
45398.4,43487.1,163.528
45389.5,43495.5,163.324
45334.6,43470.7,166.591
45339.9,43467.6,170.431
45378.6,43547.6,169.912
45338.6,43464.4,171.67
45340.6,43472,172.667
45337.7,43476,172.199
45456.7,43513.8,166.123
45452.9,43558,166.566
45445,43523.1,169.178
45453.8,43558.6,169.381
45443.5,43522.9,172.181
44799.2,43585.1,163.012
44807.3,43588.8,169.663
44979.9,43600.2,161.942
45049,43634.6,166.078
45229,43582.8,164.208
45211.6,43598.1,164.117
45164.1,43634.6,163.711
45222,43581.4,166.657
45204,43592.2,166.751
45230.6,43604.7,165.952
45149.6,43578.3,169.497
45217.6,43631.4,169.296
45269.1,43561.7,163.655
45259.4,43562.5,162.922
45275.4,43561.8,166.362
45260.4,43562,168.529
45279.1,43561.4,171.359
45386.5,43568.6,163.837
45427.4,43582.2,162.802
45425.6,43566.9,166.674
45382.1,43576.2,166.027
45411.7,43576.4,165.616
45419,43578.3,166.801
45410.8,43593.7,165.516
45383.8,43578.2,169.805
45420.7,43577.6,171.79
45417.9,43593.7,172.105
45073,42897.6,175.996
45074,42903.6,175.206
45070.3,42893.6,178.353
45066.1,42889.2,183.639
45225.2,42960.2,175.11
45225.1,42957.4,178.064
45229.7,42970.9,178.727
45226.6,42973.8,178.778
45224.7,42954.7,180.536
45225,42950.2,185.321
45229.9,42972.8,184.181
45222,42977.6,184.277
45237.4,42977.3,182.353
45389.1,42920.2,182.169
45009.4,43027.5,184.777
45060.6,43012.7,175.596
45060.2,43022.8,174.777
45060.6,43008.9,179.483
45060.9,43006,183.363
45231.4,42987.6,175.85
45231.7,43029.2,175.988
45197.3,43053.9,174.995
45231.8,42982.6,177.845
45233.7,42996.4,177.776
45233.5,43019.1,177.645
45235,43034.5,179.407
45192,43054.6,178.311
45193.5,43061.3,179.117
45208.4,43069.8,177.963
45148.7,43072.3,179.323
45228.1,42987.9,180.57
45231.3,42996.7,182.071
45229.4,43029.4,181.35
45187.7,43056.5,180.666
45183.1,43059.3,181.723
45185,43062.8,182.15
45151.8,43072.5,181.418
45154.8,43072.5,182.33
45226,42989,184.183
45179.9,43062.2,185.335
45272.7,42984.9,175.403
45274.1,42992.5,175.372
45240.6,42994.8,175.839
45244.1,43007.1,175.691
45245.4,43012.1,175.31
45314.2,43042.4,175.014
45245.1,43026.6,178.235
45312.4,43045.6,178.126
45276.2,42998.7,181.603
45275.5,43008.2,182.25
45239.6,43010,180.573
45275.8,43013.6,181.598
45309.1,43056.3,180.796
45239.3,42980.3,183.361
45237,43010.8,183.693
45276.7,43017.9,184.464
45306.9,43060.6,183.905
45416.5,43056.8,180.801
45026.4,43115.8,177.893
45028.9,43102.8,180.825
45022.3,43122.5,181.062
45116,43136.7,178.46
45115.4,43129.6,181.94
45222.4,43167.6,177.961
45217,43134.5,181.741
45199.1,43143.7,181.094
45214.5,43128.3,184.41
45215.7,43131.3,184.157
45314.7,43124.6,175.881
45295.4,43134.1,175.377
45293.9,43140.8,174.78
45317.5,43143,174.798
45319.4,43168.4,175.19
45315.9,43128.3,177.235
45294.8,43134.2,181.042
45310.9,43121,184.176
45310.3,43127.3,184.262
45447.8,43162.3,182.065
44736.9,43240.5,180.177
44727.2,43245,181.572
45220.3,43181.1,175.514
45229,43185.2,175.978
45221,43184.5,178.301
45216.9,43231,179.253
45218.6,43245.4,177.91
45231.7,43246.3,178.323
45220.2,43252.3,178.795
45222.2,43188,182.242
45229.5,43191.3,181.087
45191.8,43195.3,181.225
45230.8,43239.5,181.647
45216.9,43240.6,180.853
45202,43242.4,180.864
45220,43256,181.864
45224.5,43192,183.69
45228.4,43196.5,185.509
45211.8,43219,184.688
45233.8,43232.5,184.471
45201.5,43245,184.396
45220.8,43261.8,184.183
45321.2,43174.7,175.533
45320.9,43180.5,178.164
45243.5,43247.6,178.089
45242.1,43256.4,178.701
45321.4,43183.7,181.112
45238.4,43237.5,181.856
45239.7,43240.8,180.954
45139,43357,178.192
45139.5,43354.5,182.41
45224.3,43299.7,177.61
45201.1,43311.9,179.234
45198.8,43302.6,185.554
45222.5,43306,185.204
45220.2,43316.9,184.464
45217.6,43318.8,184.504
45211.9,43326.4,183.628
45297.4,43363.5,179.331
45264.5,43271.8,181.44
45297.6,43366,181.607
45269.3,43278.7,183.995
44701.7,43375.7,177.656
44911.3,43375.2,174.005
44915,43376,174.365
44918.8,43449.9,176.603
44929.9,43382.1,181.394
44930.2,43388.4,184.213
44943.2,43462.4,184.768
45015,43450.8,175.953
45030.9,43460.6,180.805
45116.9,43454.5,175.317
45214.7,43407.3,184.69
45287,43410.6,174.619
45266.4,43412.2,176.312
45278.6,43428.7,174.408
45310.3,43432.5,175.214
45314.2,43435.8,174.77
45312.9,43452.8,174.815
45274.8,43408.8,178.374
45280.5,43420.2,178.846
45280.4,43429.3,177.652
45316,43438.1,177.148
45318.1,43445.5,177.9
45321.2,43446.2,178.304
